Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
1,ActBlue,927808,778,2023-10-31,2024-12-31
2,American Israel Public Affairs Cmte,31222,21,2024-09-04,2024-11-04
3,AmeriPAC: The Fund for a Greater America,13300,3,2024-04-24,2024-08-06
4,Freedom Fall Blue Wave Fund,10950,2,2024-09-27,2024-10-25
5,PAC to the Future,10000,2,2024-03-01,2024-03-01
5,Elect Democratic Women,10000,2,2024-05-08,2024-09-19
7,New Democrat Coalition,9300,4,2024-06-12,2024-09-23
8,EMILY's List,6640,49,2024-06-11,2024-11-05
9,April Delaney Victory Fund,6100,1,2024-10-24,2024-10-24
10,Jobs Education &amp; Families First,5000,1,2024-09-09,2024-09-09
10,Communications Workers of America,5000,1,2024-10-08,2024-10-08
10,LEGPAC,5000,1,2024-06-29,2024-06-29
10,Defend the Vote,5000,1,2024-10-29,2024-10-29
10,American Federation of Teachers,5000,1,2024-07-19,2024-07-19
10,Synergy PAC,5000,1,2024-01-03,2024-01-03
10,National Assn of Postal Supervisors,5000,2,2024-06-28,2024-09-27
10,International Brotherhood of Electrical Workers,5000,1,2024-07-17,2024-07-17
10,Sunflower Seeds PAC,5000,3,2024-06-12,2024-10-18
10,Teamsters Union,5000,1,2024-07-23,2024-07-23
10,No Labels Problem Solvers,5000,1,2024-10-09,2024-10-09
10,Laborers Union,5000,1,2024-09-17,2024-09-17
10,National Education Assn,5000,1,2024-08-09,2024-08-09
10,National Assn of Realtors,5000,1,2024-10-11,2024-10-11
10,Fair Shot PAC,5000,1,2024-06-27,2024-06-27
10,Common Ground PAC,5000,1,2024-10-04,2024-10-04
10,National Beer Wholesalers Assn,5000,2,2024-10-08,2024-10-28
10,CA-LUV PAC,5000,2,2024-06-12,2024-09-09
10,National Auto Dealers Assn,5000,2,2024-03-26,2024-10-22
10,Purpose PAC,5000,1,2024-06-28,2024-06-28
10,AlsoPAC,5000,1,2024-09-13,2024-09-13
10,Machinists/Aerospace Workers Union,5000,1,2024-07-09,2024-07-09
10,Plumbers/Pipefitters Union,5000,1,2024-10-03,2024-10-03
10,United Food &amp; Commercial Workers Union,5000,1,2024-10-15,2024-10-15
10,Build Our Future,5000,1,2024-09-13,2024-09-13
10,American Federation of State/Cnty/Munic Employees,5000,1,2024-08-09,2024-08-09
10,Carpenters &amp; Joiners Union,5000,1,2024-10-07,2024-10-07
10,Operating Engineers Union,5000,1,2024-06-12,2024-06-12
10,Defense Economic Renewal Education &amp; Knowledge PAC,5000,1,2024-03-14,2024-03-14
10,Planned Parenthood,5000,1,2024-11-04,2024-11-04
10,Victory Now PAC,5000,1,2024-05-16,2024-05-16
10,America's Credit Unions,5000,1,2024-09-25,2024-09-25
10,American Assn for Justice,5000,2,2024-06-20,2024-08-27
10,UNITE HERE,5000,1,2024-09-25,2024-09-25
10,Plasterers &amp; Cement Masons Union,5000,1,2024-10-07,2024-10-07
45,Friends of Don Beyer,4000,2,2024-02-02,2024-11-18
45,Nancy Pelosi for Congress,4000,2,2024-03-01,2024-03-01
45,People for Derek Kilmer,4000,2,2024-03-13,2024-03-13
48,Democracy Summer Leadership PAC,3500,2,2024-06-25,2024-09-27
49,Frontline USA,3300,1,2024-10-17,2024-10-17
50,Building Economic Empowerment PAC,3000,2,2024-04-30,2024-10-01
51,Larson for Congress,2500,2,2024-04-30,2024-04-30
51,JJF Management Services,2500,1,2024-03-26,2024-03-26
51,LOIS PAC,2500,1,2024-10-23,2024-10-23
51,Elevance Health,2500,1,2024-06-26,2024-06-26
51,Ironworkers Union,2500,1,2024-10-07,2024-10-07
51,"Masters, Mates &amp; Pilots Union",2500,1,2024-07-02,2024-07-02
51,Midwest Values PAC,2500,1,2024-10-11,2024-10-11
51,American Property Casualty Insurance Assn,2500,1,2024-10-29,2024-10-29
51,BRIDGE PAC,2500,1,2024-06-27,2024-06-27
51,Home Depot,2500,1,2024-08-26,2024-08-26
51,Office &amp; Professional Employees Union,2500,1,2024-10-16,2024-10-16
51,Equality PAC,2500,2,2024-09-30,2024-10-23
63,Build America PAC,2000,1,2024-10-03,2024-10-03
63,Schneider for Congress,2000,2,2024-09-23,2024-10-24
63,Sherman for Congress,2000,1,2024-10-28,2024-10-28
63,Progressive Choices PAC,2000,2,2024-09-26,2024-10-01
63,SAC PAC,2000,1,2024-10-01,2024-10-01
63,Evergreen PAC,2000,1,2024-10-29,2024-10-29
63,Wolverine PAC                                     ,2000,2,2023-12-29,2024-06-28
63,UFCW Local 400,2000,1,2024-09-06,2024-09-06
63,Dr Kim Schrier for Congress,2000,2,2024-10-18,2024-10-27
63,Blue Majority PAC,2000,1,2024-09-16,2024-09-16
63,Commonwealth PAC (Connolly),2000,2,2024-10-21,2024-12-16
63,Jeffries for Congress,2000,1,2024-09-09,2024-09-09
63,Painters &amp; Allied Trades Union,2000,1,2024-08-20,2024-08-20
63,Kind for Congress Cmte,2000,1,2024-09-30,2024-09-30
63,Progressive PAC (Lieu),2000,1,2024-06-03,2024-06-03
63,Pete Aguilar for Congress,2000,1,2024-06-12,2024-06-12
63,Judy Chu for Congress,2000,1,2024-10-08,2024-10-08
63,Hope PAC,2000,2,2024-05-09,2024-08-26
63,Budwinski PAC,2000,1,2024-10-11,2024-10-11
63,League of Conservation Voters,2000,2,2024-09-27,2024-11-04
63,Supporting House Problem Solvers,2000,1,2024-03-12,2024-03-12
84,Leonardo DRS,1500,1,2024-12-03,2024-12-03
84,US Chamber of Commerce,1500,1,2024-10-10,2024-10-10
84,ArentFox Schiff,1500,1,2024-03-13,2024-03-13
87,Johnny O for Congress,1000,1,2024-06-24,2024-06-24
87,Beyond Thoughts &amp; Prayers PAC,1000,1,2024-10-18,2024-10-18
87,Landsman for Congress,1000,1,2024-11-15,2024-11-15
87,Timber PAC,1000,1,2024-10-31,2024-10-31
87,Mac PAC                                           ,1000,1,2024-10-03,2024-10-03
87,Leading People Forward PAC,1000,1,2024-10-28,2024-10-28
87,General Dynamics,1000,1,2024-06-27,2024-06-27
87,Jasmine for US,1000,1,2024-10-21,2024-10-21
87,Dutch Ruppersberger for Congress,1000,1,2024-05-22,2024-05-22
87,Fraternity &amp; Sorority PAC,1000,1,2024-09-23,2024-09-23
87,Shore PAC,1000,1,2024-06-25,2024-06-25
87,Spike PAC,1000,1,2024-06-20,2024-06-20
87,University Public Issues Cmte,1000,1,2024-06-21,2024-06-21
87,Remedy PAC,1000,1,2024-09-30,2024-09-30
87,Elfreth for Maryland,1000,1,2024-09-30,2024-09-30
87,Not So Old Fashioned PAC,1000,1,2024-05-15,2024-05-15
87,Educate &amp; Innovate PAC,1000,1,2024-10-21,2024-10-21
87,Alliance for Retired Americans,1000,1,2024-09-16,2024-09-16
87,Democracy Action Now PAC,1000,1,2024-10-29,2024-10-29
87,Democracy &amp; Freedom PAC,1000,1,2024-11-04,2024-11-04
87,Erie Insurance,1000,1,2024-09-05,2024-09-05
87,Jersey Values PAC,1000,1,2024-05-28,2024-05-28
87,Tried-and-True PAC,1000,1,2024-09-23,2024-09-23
87,Moulton for Congress Cmte,1000,1,2024-05-06,2024-05-06
87,Grace for New York,1000,1,2024-09-24,2024-09-24
87,Democratic Turnout Project PAC,1000,1,2024-06-29,2024-06-29
87,Democratic Majority for Israel,1000,1,2024-06-27,2024-06-27
87,Democrats Win Seats PAC,1000,1,2024-10-31,2024-10-31
87,Constellation Energy,1000,1,2024-09-05,2024-09-05
87,Robert Garcia for Congress,1000,1,2024-10-23,2024-10-23
87,Onward Together Cmte,1000,1,2024-10-09,2024-10-09
87,American Defense &amp; Military PAC,1000,1,2024-10-07,2024-10-07
87,American Hospital Assn,1000,1,2024-12-09,2024-12-09
87,Committee for a Democratic Future,1000,1,2024-05-16,2024-05-16
87,Making a Difference PAC,1000,1,2024-05-14,2024-05-14
87,O PAC,1000,1,2024-10-09,2024-10-09
87,Americans Making Opportunities PAC,1000,1,2024-10-22,2024-10-22
87,Sierra Club,1000,1,2024-10-04,2024-10-04
87,FMR Corp,1000,1,2024-12-30,2024-12-30
87,Ballard Spahr LLP,1000,3,2024-08-13,2024-12-11
87,HMS SCRAP PAC                                     ,1000,1,2024-10-29,2024-10-29
87,Bridge the Gap PAC,1000,1,2024-10-15,2024-10-15
87,Marc Veasey Congressional Campaign Cmte,1000,1,2024-10-31,2024-10-31
87,American Society of Plastic Surgeons,1000,1,2024-07-31,2024-07-31
87,Paul Tonko for Congress,1000,1,2024-10-24,2024-10-24
87,American Mosaic PAC,1000,1,2024-10-23,2024-10-23
87,Harry Dunn for Congress,1000,2,2024-10-16,2024-10-29
87,Make It In America PAC,1000,1,2024-03-01,2024-03-01
135,Jewish Democratic Council of America,650,1,2024-10-10,2024-10-10
136,Bluegrass PAC,500,1,2024-11-08,2024-11-08
136,New Voice PAC,500,1,2024-04-18,2024-04-18
136,American Innovation PAC,500,1,2024-06-27,2024-06-27
136,Tri-State Maxed Out Women,500,1,2024-11-05,2024-11-05
