Rank,Customer/Payor,Total,Number of Payments,First Payment,Last Payment
1,Kelly-Thompson Victory Fund,25320,1,2013-09-28,2013-09-28
2,Majority Cmte PAC,10000,2,2013-09-30,2014-07-09
2,American Bankers Assn,10000,5,2013-02-26,2014-07-25
2,National Education Assn,10000,4,2013-02-28,2014-06-25
2,National Auto Dealers Assn,10000,3,2013-09-09,2014-09-04
2,Exxon Mobil,10000,2,2014-05-06,2014-10-17
2,Comcast Corp,10000,4,2013-09-17,2014-08-07
2,Alpha Natural Resources,10000,5,2013-01-30,2014-09-10
2,Every Republican is Crucial PAC,10000,2,2013-06-13,2014-04-29
2,Tuesday Group PAC,10000,3,2013-09-10,2014-06-23
11,National Fuel Gas Corp,9700,9,2013-11-25,2014-12-08
12,Farm Credit Council,9452,8,2013-06-24,2014-08-28
13,FirstEnergy Corp,9000,5,2013-07-29,2014-09-10
13,National Assn of Realtors,9000,6,2013-05-24,2014-10-22
15,National Rural Electric Cooperative Assn,8500,5,2013-07-23,2014-06-26
16,National Assn of Insurance &amp; Financial Advisors,8000,4,2013-08-12,2014-10-16
17,American Assn for Homecare,7500,4,2013-03-04,2014-03-26
18,National Cattlemen's Beef Assn,6000,3,2013-07-30,2014-09-10
18,American Physical Therapy Assn,6000,5,2013-02-25,2014-07-22
18,Halliburton Co,6000,4,2013-07-26,2014-08-15
18,National Beer Wholesalers Assn,6000,3,2013-06-03,2014-07-07
22,National Community Action Foundation,5500,5,2013-01-28,2014-07-10
22,NiSource Inc,5500,4,2013-03-11,2014-09-08
24,Williams Companies,5000,5,2013-03-20,2014-07-25
24,International Paper,5000,4,2013-04-23,2014-07-10
24,Weyerhaeuser Co,5000,2,2013-04-04,2014-08-15
24,Norfolk Southern,5000,1,2014-04-15,2014-04-15
24,National Corn Growers Assn,5000,4,2013-01-31,2014-06-02
24,Freedom Project,5000,1,2013-12-18,2013-12-18
24,Pride Mobility Products,5000,4,2013-03-01,2014-03-28
24,Chesapeake Energy,5000,2,2013-03-12,2014-05-12
24,Hardwood Federation,5000,4,2013-05-30,2014-09-09
24,National Ocean Industries Assn,5000,3,2013-01-29,2014-06-24
24,American Assn of Crop Insurers,5000,5,2013-07-09,2014-09-09
24,Koch Industries,5000,4,2013-02-19,2014-03-08
24,National Roofing Contractors Assn,5000,5,2013-05-14,2014-09-09
37,American Speech-Language-Hearing Assn,4500,2,2013-09-09,2014-09-12
37,Association of Private Sector Colleges/Univs,4500,3,2013-08-13,2014-07-14
37,American College of Radiology,4500,2,2013-08-16,2014-09-29
37,American Health Care Assn,4500,3,2014-02-06,2014-07-09
37,American Society of Assn Executives,4500,5,2013-02-28,2014-09-23
42,Monsanto Co,4000,4,2013-06-24,2014-09-30
42,"National Stone, Sand &amp; Gravel Assn",4000,4,2013-06-24,2014-07-30
42,Dominion Resources,4000,3,2013-03-13,2014-06-26
42,Verizon Communications,4000,4,2013-09-18,2014-06-30
46,Invacare Corp,3500,5,2013-02-25,2014-07-11
46,Highmark Blue Cross/Blue Shield,3500,3,2013-07-15,2014-07-11
46,Energy Transfer Partners,3500,2,2013-12-11,2014-05-07
46,Education Management Corp,3500,2,2013-05-17,2014-03-18
46,American Orthotic &amp; Prosthetic Assn,3500,3,2013-06-11,2014-09-26
46,American Forest &amp; Paper Assn,3500,2,2013-05-07,2014-06-17
46,Federal Forest Resource Coalition,3500,4,2013-06-28,2014-09-16
53,Fulton Financial,3250,2,2013-05-21,2014-08-07
54,Joy Global Inc,3000,2,2013-06-14,2014-09-22
54,Independent Petroleum Assn of America,3000,4,2013-11-15,2014-06-25
54,Home Depot,3000,3,2013-06-12,2014-10-28
54,Genesee &amp; Wyoming,3000,2,2013-08-13,2014-08-12
54,National Rifle Assn,3000,2,2013-06-11,2014-08-21
54,American Gas Assn,3000,2,2013-03-21,2014-05-30
54,Credit Union National Assn,3000,3,2013-08-12,2014-05-06
54,National Assn of Home Builders,3000,3,2014-03-13,2014-09-30
54,Safari Club International,3000,3,2013-06-17,2014-08-06
54,Air Products &amp; Chemicals Inc,3000,2,2013-02-04,2013-03-19
54,Eagle Forum,3000,3,2014-03-14,2014-09-29
54,Investment Co Institute,3000,3,2013-06-19,2014-06-03
54,Honeywell International,3000,3,2013-06-10,2014-05-16
54,Associated General Contractors,3000,2,2013-12-17,2014-09-04
68,National Federation of Independent Business,2500,1,2013-09-18,2013-09-18
68,National Rural Letter Carriers Assn,2500,1,2014-09-26,2014-09-26
68,American Hospital Assn,2500,3,2013-02-26,2014-09-09
68,International Dairy Foods Assn,2500,3,2013-05-07,2014-09-09
68,American College of Emergency Physicians,2500,2,2013-01-30,2014-04-09
68,Associated Builders &amp; Contractors,2500,1,2013-03-12,2013-03-12
